N_sample	N_ANI	Min	Max
775	44969.04	39147	49134
776	44991.86	39166	49137
777	45034.5	39364	49144
778	45060.02	39384	49156
779	45097.36	39384	49225
780	45131.46	39406	49545
781	45176.74	39436	49556
782	45207.64	39442	49621
783	45243.62	39586	49652
784	45279.86	39743	49687
785	45299.98	39793	49687
786	45336.72	39810	49702
787	45371.78	39907	49704
788	45411.3	40121	50233
789	45478.92	40135	50235
790	45504.58	40136	50235
791	45542.56	40188	50236
792	45570.52	40189	50245
793	45604.6	40258	50252
794	45630.34	40259	50255
795	45670.08	40278	50266
796	45717.38	40280	50291
797	45741.54	40282	50310
798	45777.24	40293	50370
799	45811.22	40374	50375
800	45834.66	40377	50376
801	45861.2	40400	50386
802	45900.32	40400	50389
803	45917.34	40400	50389
804	45949.26	40407	50425
805	45988.66	40497	50450
806	46031.24	40519	50464
807	46057.44	40522	50505
808	46080.04	40556	50576
809	46121.5	40558	50608
810	46150.44	40618	50624
811	46195.44	40621	50628
812	46242.88	40621	50850
813	46286.94	40778	51394
814	46316.3	40778	51395
815	46333.84	40819	51436
816	46382.72	40831	51436
817	46416.74	40909	51441
818	46447.22	40909	51460
819	46514.86	40914	51487
820	46534.5	40918	51489
821	46606.28	40994	51490
822	46635.98	41001	51502
823	46682	41049	51510
824	46706.32	41062	51512
825	46740.82	41062	51538
826	46769.06	41063	51561
827	46784.7	41075	51568
828	46814.3	41086	51582
829	46888.9	41086	51586
830	46935.34	41089	51587
831	46959.56	41095	51590
832	46986.08	41395	51591
833	47030.02	41395	51664
834	47088.16	41398	51666
835	47117.58	41402	51666
836	47167.08	41430	52076
837	47228.36	41532	52077
838	47277.62	41536	52395
839	47315.3	41540	52395
840	47335.42	41549	52400
841	47369.1	41625	52402
842	47403.94	41628	52402
843	47432.66	41629	52403
844	47458.1	41641	52425
845	47498.18	41641	52427
846	47520.92	41644	52452
847	47560.5	41655	52493
848	47603.46	41683	52493
849	47632.96	41698	52633
850	47663.96	41917	52633
851	47705.32	41935	52639
852	47746.14	41971	52680
853	47772.58	41976	52681
854	47802.96	41978	52792
855	47834.98	42255	52935
856	47849.22	42256	52935
857	47888.6	42929	52965
858	47938.58	43062	52969
859	47998.98	43062	52975
860	48030.92	43063	53198
861	48093.34	43093	53218
862	48154.48	43100	53220
863	48182.6	43170	53223
864	48223.72	43171	53271
865	48277.04	43174	53316
866	48312.26	43180	53316
867	48347.74	43190	53317
868	48401.14	43191	53343
869	48482.6	43226	53372
870	48519.3	43308	53373
871	48577.74	43477	53391
872	48616.08	43486	53426
873	48643.14	43497	53530
874	48685.74	43498	53534
875	48748.14	43498	53535
876	48832.76	43498	53915
877	48857.38	43507	53916
878	48884.68	43515	53916
879	48916.58	43585	53917
880	48946.86	43586	53917
881	48993.64	43983	53920
882	49024.92	43993	53953
883	49067.5	43993	53953
884	49106.74	44006	53954
885	49146.34	44007	53974
886	49188.1	44187	53976
887	49219.18	44191	53976
888	49243.44	44193	53976
889	49299.26	44204	53976
890	49342.74	44331	54009
891	49385.14	44333	54017
892	49420.1	44340	54049
893	49447.34	44341	54066
894	49489.88	44343	54423
895	49537.02	44345	54450
896	49568.36	44346	54451
897	49599.62	44346	54451
898	49627.26	44346	54455
899	49656.96	44370	54456
900	49701.42	44379	54460
901	49747.26	44379	54463
902	49807.06	44385	54468
903	49874.24	44385	54468
904	49913.52	44385	54482
905	49959.6	44392	54529
906	49998.02	44392	54529
907	50030.8	44393	54570
908	50050.38	44393	54570
909	50132.02	45083	54570
910	50173.7	45169	54606
911	50203.52	45231	54654
912	50239.5	45262	54662
913	50291.24	45490	54700
914	50340.24	45492	54776
915	50359.6	45506	54778
916	50396	45511	54883
917	50472.36	45512	54942
918	50500.86	45523	54963
919	50525.58	45535	55116
920	50561.26	45537	55235
921	50614.48	45538	55271
922	50654.7	45586	55414
923	50697.1	45608	55427
924	50727.82	45616	55534
925	50772.16	45617	55541
926	50809.36	45620	55544
927	50879.7	45622	55546
928	50899.9	45622	55547
929	50929.52	45624	55597
930	50973.9	45624	55649
931	50999.9	45627	55649
932	51038.62	45628	55882
933	51058.24	45745	55908
934	51127.08	46302	55908
935	51195.6	46304	56021
936	51250.96	46304	56022
937	51284.44	46306	56048
938	51309	46315	56103
939	51347.26	46346	56222
940	51395.7	46348	56223
941	51437.42	46356	56223
942	51473.22	46371	56231
943	51507.44	46428	56233
944	51542.56	46441	56237
945	51592.82	46454	56238
946	51618.46	46454	56248
947	51645.84	46455	56248
948	51667.1	46465	56270
949	51687.38	46497	56271
950	51718.62	46501	56275
951	51743.36	46506	56282
952	51782.34	46506	56524
953	51809.24	46508	56525
954	51830.2	46509	56531
955	51857.68	46710	56917
956	51887.34	46730	57076
957	51935.96	47010	57200
958	51969.32	47052	57214
959	52005.48	47056	57475
960	52037.3	47056	57476
961	52079.56	47062	57476
962	52103.36	47063	57480
963	52125.8	47065	57481
964	52169.54	47066	57523
965	52183.3	47115	57527
966	52219.92	47116	57538
967	52254.56	47118	57573
968	52323.3	47119	57591
969	52348.02	47122	57671
970	52382.62	47151	57867
971	52411.14	47157	57871
972	52452.28	47235	57876
973	52493.22	47250	57882
974	52535.38	47251	58032
975	52584.5	47272	58034
976	52616.44	47293	58054
977	52670.44	47416	58275
978	52703.06	47422	58304
979	52742.66	47503	58312
980	52773.84	47507	58326
981	52808.76	47517	58330
982	52841.7	47551	58331
983	52871.76	47631	58352
984	52891.12	47653	58375
985	52915.32	47657	58382
986	52947.76	47660	58466
987	52971.16	47663	58468
988	53027.78	47682	58470
989	53063.28	47688	58472
990	53101.68	47738	58473
991	53150.16	47744	58758
992	53180.42	47755	58759
993	53238.68	47757	58762
994	53280.94	47789	58788
995	53318.76	47820	58788
996	53350.78	47820	58825
997	53405.74	47833	58927
998	53421.22	47841	58935
999	53440.86	47843	58939
1000	53509.04	48465	58948
1001	53551.82	48484	58981
1002	53578.38	48486	58986
1003	53615.22	48494	58994
1004	53642.6	48499	59010
1005	53669.68	48576	59010
1006	53709.54	48577	59041
1007	53746.72	48611	59065
1008	53788.68	48612	59068
1009	53824.3	48612	59074
1010	53846.88	48612	59107
1011	53869.14	48617	59114
1012	53899.1	48617	59114
1013	53978.26	48811	59120
1014	54004.18	48812	59170
1015	54049.38	48816	59256
1016	54089.52	48954	59312
1017	54113.26	48958	59313
1018	54148.96	48991	59313
1019	54185.36	48997	59327
1020	54204.56	48997	59338
1021	54247.26	49076	59361
1022	54277.62	49085	59363
1023	54294.92	49099	59367
1024	54325.86	49110	59374
1025	54368.32	49113	59396
1026	54385.64	49200	59399
1027	54413.64	49207	59421
1028	54475.54	49208	59423
1029	54491.96	49229	59424
1030	54542	49232	59426
1031	54597.3	49252	59426
1032	54623.88	49260	59444
1033	54661.56	49330	59466
1034	54681.76	49330	59570
1035	54706.5	49401	59578
1036	54732.14	49401	59594
1037	54775.96	49457	59634
1038	54795.86	49459	59642
1039	54830.22	49459	59642
1040	54866.24	49461	59646
1041	54897.6	49462	59660
1042	54943.32	49462	59664
1043	55018.34	49463	59665
1044	55053.18	49582	59843
1045	55085.5	49815	59846
1046	55106.58	49826	59874
1047	55130.26	49846	59875
1048	55183.56	50060	59877
1049	55213.34	50073	59879
1050	55273.6	50097	59879
1051	55309.94	50097	59924
1052	55355.82	50101	59926
1053	55390.74	50101	59962
1054	55417.34	50101	59982
1055	55435.16	50101	60038
1056	55457.52	50109	60038
1057	55480.48	50109	60056
1058	55572.42	50976	60070
1059	55595.3	51031	60070
1060	55630.86	51068	60070
1061	55660.02	51073	60184
1062	55690.3	51073	60185
1063	55762.34	51074	60430
1064	55795.64	51090	60431
1065	55824.54	51245	60431
1066	55867.68	51250	60431
1067	55894.42	51254	60442
1068	55916.84	51283	60442
